"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_200_20_204dc2b778","crashed","-","molanu","","2020-12-03T14:16:05.000Z","107987","","20","20","0.01","0.005","0.005","0.05","0","D_200_20_20","100000","2","0.0001","1000","GRN_evolution","2","200","0.6799136035542499","1.56","0.10620290015315764","0.8937970998468423","0.7242000000000001","0.7243999999999999","0","0","84","16"
"D_200_20_208bb5a4db","crashed","-","molanu","","2020-12-03T14:16:05.000Z","107998","","20","20","0.01","0.005","0.005","0.05","0","D_200_20_20","100000","2","0.0001","1000","GRN_evolution","3","200","0.6908791907412499","0.191","0.13688537928017275","0.8631146207198274","0.5184000000000001","0.5184000000000001","0","0","37","63"
"D_200_20_208809350b","crashed","-","molanu","","2020-12-03T14:15:35.000Z","107979","","20","20","0.01","0.005","0.005","0.05","0","D_200_20_20","100000","2","0.0001","1000","GRN_evolution","1","200","0.6336669401902499","0.157","0.18479930825756224","0.8152006917424377","0.4594","0.4599999999999999","0","0","100","0"
"D_200_20_103a1cb52a","crashed","-","molanu","","2020-12-03T14:15:05.000Z","107995","","20","10","0.01","0.005","0.005","0.05","0","D_200_20_10","100000","2","0.0001","1000","GRN_evolution","3","200","0.6240056688923751","0.128","0.190120392759895","0.8098796072401048","0.2928","0.2942","0","0","99","1"
"D_200_20_10a1d24a52","crashed","-","molanu","","2020-12-03T14:15:04.000Z","107985","","20","10","0.01","0.005","0.005","0.05","0","D_200_20_10","100000","2","0.0001","1000","GRN_evolution","5","200","0.30138007162137503","0.081","0.36471096176217954","0.6352890382378205","0.3858","0.387","13","0","87","0"
"D_200_20_101102e52b","crashed","-","molanu","","2020-12-03T14:14:59.000Z","108002","","20","10","0.01","0.005","0.005","0.05","0","D_200_20_10","100000","2","0.0001","1000","GRN_evolution","2","200","0.6944002477558749","0.489","0.14360061247002365","0.8563993875299765","0.5404000000000001","0.5424000000000001","0","0","22","78"
"D_200_20_106f0366a4","crashed","-","molanu","","2020-12-03T14:14:59.000Z","107984","","20","10","0.01","0.005","0.005","0.05","0","D_200_20_10","100000","2","0.0001","1000","GRN_evolution","4","200","0.7347932951397499","0.245","0.14386447025454405","0.856135529745456","0.3772","0.3798","0","0","13","87"
"D_200_20_103c11d330","crashed","-","molanu","","2020-12-03T14:14:28.000Z","107992","","20","10","0.01","0.005","0.005","0.05","0","D_200_20_10","100000","2","0.0001","1000","GRN_evolution","1","200","0.3503498851085","0.072","0.35341110324037606","0.6465888967596239","0.27580000000000005","0.27640000000000003","53","0","47","0"
"D_200_10_51558e3b5","crashed","-","molanu","","2020-12-03T14:13:58.000Z","108001","","10","5","0.01","0.005","0.005","0.05","0","D_200_10_5","100000","2","0.0001","1000","GRN_evolution","5","200","0.774217211232","0.146","0.2063825817839496","0.7936174182160504","0.17139999999999997","0.2106","1","0","8","91"
"D_200_10_5e5e6ce00","crashed","-","molanu","","2020-12-03T14:13:58.000Z","107986","","10","5","0.01","0.005","0.005","0.05","0","D_200_10_5","100000","2","0.0001","1000","GRN_evolution","4","200","0.8148407134479999","0.393","0.19123080708973844","0.8087691929102615","0.18900000000000003","0.203","0","0","21","79"
"D_200_10_5cb2b4d82","crashed","-","molanu","","2020-12-03T14:13:28.000Z","107985","","10","5","0.01","0.005","0.005","0.05","0","D_200_10_5","100000","2","0.0001","1000","GRN_evolution","3","200","0.739383235501","0.236","0.22687431598466265","0.7731256840153374","0.15840000000000004","0.1618","0","0","14","86"
"D_200_10_5ef2ba761","crashed","-","molanu","","2020-12-03T14:12:57.000Z","107997","","10","5","0.01","0.005","0.005","0.05","0","D_200_10_5","100000","2","0.0001","1000","GRN_evolution","2","200","0.6759209831119999","0.136","0.2592460692368548","0.7407539307631451","0.141","0.1452","1","0","70","29"
"D_200_10_2002537220","crashed","-","molanu","","2020-12-03T14:12:28.000Z","107998","","10","20","0.01","0.005","0.005","0.05","0","D_200_10_20","100000","2","0.0001","1000","GRN_evolution","5","200","0.3913014669320001","0.064","0.3390406224380023","0.6609593775619976","0.5402","0.5406","48","0","52","0"
"D_200_10_2014dcc08c","crashed","-","molanu","","2020-12-03T14:12:27.000Z","108010","","10","20","0.01","0.005","0.005","0.05","0","D_200_10_20","100000","2","0.0001","1000","GRN_evolution","3","200","0.851936076486","0.266","0.040334334230603064","0.9596656657693968","0.503","0.5042","0","0","4","96"
"D_200_10_2051850ad6","crashed","-","molanu","","2020-12-03T14:12:27.000Z","108006","","10","20","0.01","0.005","0.005","0.05","0","D_200_10_20","100000","2","0.0001","1000","GRN_evolution","4","200","0.7161336409780001","0.361","0.0851137941824678","0.914886205817532","0.5616","0.5622","0","0","44","56"
"D_200_10_575935e1f","crashed","-","molanu","","2020-12-03T14:12:27.000Z","107987","","10","5","0.01","0.005","0.005","0.05","0","D_200_10_5","100000","2","0.0001","1000","GRN_evolution","1","200","0.850067272492","0.448","0.13025556739754968","0.8697444326024504","0.2338","0.2436","0","0","2","98"
"D_200_10_103ec57291","crashed","-","molanu","","2020-12-03T14:12:00.000Z","107990","","10","10","0.01","0.005","0.005","0.05","0","D_200_10_10","100000","2","0.0001","1000","GRN_evolution","5","200","0.7796201492100001","0.597","0.10595546373268568","0.8940445362673144","0.4482000000000001","0.4642000000000001","0","0","12","88"
"D_200_10_2038144462","crashed","-","molanu","","2020-12-03T14:12:00.000Z","107995","","10","20","0.01","0.005","0.005","0.05","0","D_200_10_20","100000","2","0.0001","1000","GRN_evolution","1","200","0.786390279154","1.101","0.06729467064354529","0.9327053293564548","0.6335999999999999","0.6345999999999999","0","0","1","99"
"D_200_10_2096173076","crashed","-","molanu","","2020-12-03T14:12:00.000Z","107986","","10","20","0.01","0.005","0.005","0.05","0","D_200_10_20","100000","2","0.0001","1000","GRN_evolution","2","200","0.8964855450440002","2.54","0.018849235869494493","0.9811507641305056","0.7972","0.7977999999999997","0","0","5","95"
"D_100_30_5a7cd3c9c","crashed","-","molanu","","2020-12-03T14:11:57.000Z","107980","","30","5","0.01","0.005","0.005","0.05","0","D_100_30_5","100000","2","0.0001","1000","GRN_evolution","5","100","0.3453585691345926","0.649","0.4335539308272382","0.5664460691727617","0.1944","0.1994","66","0","34","0"
